from,to,time
cei2,cei3,0.267
cei2,cei3,0.277
cei2,cei3,0.278
cei2,cei3,0.285
cei2,cei3,0.267
cei2,cei3,0.235
cei2,cei3,0.279
cei2,cei3,0.280
cei2,cei3,0.283
cei2,cei3,0.246
cei2,cei3,0.286
cei2,cei3,0.248
cei2,cei3,0.266
cei2,cei3,0.268
cei2,cei3,0.274
cei2,cei3,0.239
cei2,cei3,0.243
cei2,cei3,0.269
cei2,cei3,0.278
cei2,cei3,0.277
cei2,cei3,0.281
cei2,cei3,0.296
cei2,cei3,0.282
cei2,cei3,0.243
cei2,cei3,0.284
cei2,cei3,0.276
cei2,cei3,0.243
cei2,cei3,0.282
cei2,cei3,0.278
cei2,cei3,0.247
cei2,cei3,0.239
cei2,cei3,0.265
cei2,cei3,0.272
cei2,cei3,0.245
cei2,cei3,0.277
cei2,cei3,0.277
cei2,cei3,0.245
cei2,cei3,0.271
cei2,cei3,0.271
cei2,cei3,0.276
cei2,cei3,0.231
cei2,cei3,0.246
cei2,cei3,0.275
cei2,cei3,0.281
cei2,cei3,0.233
cei2,cei3,0.277
cei2,cei3,0.268
cei2,cei3,0.246
cei2,cei3,0.241
cei2,cei3,0.243
cei2,cei3,0.277
cei2,cei3,0.277
cei2,cei3,0.234
cei2,cei3,0.261
cei2,cei3,0.257
cei2,cei3,0.265
cei2,cei3,0.247
cei2,cei3,0.277
cei2,cei3,0.251
cei2,cei3,0.275
cei2,cei3,0.231
cei2,cei3,0.266
cei2,cei3,0.274
cei2,cei3,0.258
cei2,cei3,0.198
cei2,cei3,0.270
cei2,cei3,0.246
cei2,cei3,0.287
cei2,cei3,0.234
cei2,cei3,0.280
cei2,cei3,0.247
cei2,cei3,0.270
cei2,cei3,0.276
cei2,cei3,0.271
cei2,cei3,0.270
cei2,cei3,0.241
cei2,cei3,0.263
cei2,cei3,0.264
cei2,cei3,0.244
cei2,cei3,0.280
cei2,cei3,0.242
cei2,cei3,0.272
cei2,cei3,0.276
cei2,cei3,0.238
cei2,cei3,0.266
cei2,cei3,0.232
cei2,cei3,0.242
cei2,cei3,0.266
cei2,cei3,0.244
cei2,cei3,0.257
cei2,cei3,0.243
cei2,cei3,0.259
cei2,cei3,0.265
cei2,cei3,0.234
cei2,cei3,0.292
cei2,cei3,0.265
cei2,cei3,0.246
cei2,cei3,0.266
cei2,cei3,0.253
cei2,cei3,0.261
cei3,cei2,0.260
cei3,cei2,0.265
cei3,cei2,0.262
cei3,cei2,0.252
cei3,cei2,0.247
cei3,cei2,0.249
cei3,cei2,0.277
cei3,cei2,0.274
cei3,cei2,0.180
cei3,cei2,0.243
cei3,cei2,0.277
cei3,cei2,0.264
cei3,cei2,0.256
cei3,cei2,0.261
cei3,cei2,0.254
cei3,cei2,0.242
cei3,cei2,0.224
cei3,cei2,0.230
cei3,cei2,0.279
cei3,cei2,0.244
cei3,cei2,0.245
cei3,cei2,0.277
cei3,cei2,0.243
cei3,cei2,0.245
cei3,cei2,0.264
cei3,cei2,0.269
cei3,cei2,0.260
cei3,cei2,0.263
cei3,cei2,0.281
cei3,cei2,0.243
cei3,cei2,0.234
cei3,cei2,0.279
cei3,cei2,0.267
cei3,cei2,0.244
cei3,cei2,0.261
cei3,cei2,0.253
cei3,cei2,0.235
cei3,cei2,0.278
cei3,cei2,0.277
cei3,cei2,0.250
cei3,cei2,0.272
cei3,cei2,0.255
cei3,cei2,0.220
cei3,cei2,0.243
cei3,cei2,0.254
cei3,cei2,0.276
cei3,cei2,0.241
cei3,cei2,0.240
cei3,cei2,0.277
cei3,cei2,0.244
cei3,cei2,0.293
cei3,cei2,0.277
cei3,cei2,0.275
cei3,cei2,0.257
cei3,cei2,0.279
cei3,cei2,0.271
cei3,cei2,0.278
cei3,cei2,0.265
cei3,cei2,0.244
cei3,cei2,0.246
cei3,cei2,0.259
cei3,cei2,0.257
cei3,cei2,0.229
cei3,cei2,0.262
cei3,cei2,0.278
cei3,cei2,0.244
cei3,cei2,0.228
cei3,cei2,0.275
cei3,cei2,0.241
cei3,cei2,0.279
cei3,cei2,0.241
cei3,cei2,0.243
cei3,cei2,0.236
cei3,cei2,0.278
cei3,cei2,0.244
cei3,cei2,0.279
cei3,cei2,0.157
cei3,cei2,0.243
cei3,cei2,0.258
cei3,cei2,0.259
cei3,cei2,0.280
cei3,cei2,0.261
cei3,cei2,0.256
cei3,cei2,0.287
cei3,cei2,0.281
cei3,cei2,0.268
cei3,cei2,0.244
cei3,cei2,0.270
cei3,cei2,0.277
cei3,cei2,0.274
cei3,cei2,0.239
cei3,cei2,0.241
cei3,cei2,0.278
cei3,cei2,0.278
cei3,cei2,0.262
cei3,cei2,0.277
cei3,cei2,0.263
cei3,cei2,0.244
cei3,cei2,0.236
cei3,cei2,0.182
cei4,cei5,0.297
cei4,cei5,0.253
cei4,cei5,0.273
cei4,cei5,0.242
cei4,cei5,0.272
cei4,cei5,0.268
cei4,cei5,0.258
cei4,cei5,0.275
cei4,cei5,0.274
cei4,cei5,0.274
cei4,cei5,0.274
cei4,cei5,0.207
cei4,cei5,0.269
cei4,cei5,0.255
cei4,cei5,0.257
cei4,cei5,0.261
cei4,cei5,0.289
cei4,cei5,0.274
cei4,cei5,0.235
cei4,cei5,0.253
cei4,cei5,0.277
cei4,cei5,0.267
cei4,cei5,0.276
cei4,cei5,0.251
cei4,cei5,0.281
cei4,cei5,0.261
cei4,cei5,0.260
cei4,cei5,0.250
cei4,cei5,0.271
cei4,cei5,0.256
cei4,cei5,0.268
cei4,cei5,0.301
cei4,cei5,0.265
cei4,cei5,0.231
cei4,cei5,0.291
cei4,cei5,0.272
cei4,cei5,0.278
cei4,cei5,0.255
cei4,cei5,0.276
cei4,cei5,0.256
cei4,cei5,0.267
cei4,cei5,0.271
cei4,cei5,0.274
cei4,cei5,0.256
cei4,cei5,0.275
cei4,cei5,0.272
cei4,cei5,0.260
cei4,cei5,0.263
cei4,cei5,0.142
cei4,cei5,0.270
cei4,cei5,0.278
cei4,cei5,0.275
cei4,cei5,0.259
cei4,cei5,0.274
cei4,cei5,0.283
cei4,cei5,0.273
cei4,cei5,0.258
cei4,cei5,0.255
cei4,cei5,0.266
cei4,cei5,0.275
cei4,cei5,0.254
cei4,cei5,0.265
cei4,cei5,0.267
cei4,cei5,0.272
cei4,cei5,0.279
cei4,cei5,0.252
cei4,cei5,0.256
cei4,cei5,0.273
cei4,cei5,0.271
cei4,cei5,0.273
cei4,cei5,0.254
cei4,cei5,0.272
cei4,cei5,0.259
cei4,cei5,0.253
cei4,cei5,0.276
cei4,cei5,0.284
cei4,cei5,0.259
cei4,cei5,0.248
cei4,cei5,0.276
cei4,cei5,0.253
cei4,cei5,0.264
cei4,cei5,0.255
cei4,cei5,0.273
cei4,cei5,0.288
cei4,cei5,0.287
cei4,cei5,0.262
cei4,cei5,0.271
cei4,cei5,0.266
cei4,cei5,0.275
cei4,cei5,0.240
cei4,cei5,0.275
cei4,cei5,0.253
cei4,cei5,0.281
cei4,cei5,0.271
cei4,cei5,0.254
cei4,cei5,0.295
cei4,cei5,0.272
cei4,cei5,0.270
cei4,cei5,0.277
cei4,cei5,0.271
cei5,cei4,0.214
cei5,cei4,0.218
cei5,cei4,0.227
cei5,cei4,0.191
cei5,cei4,0.196
cei5,cei4,0.215
cei5,cei4,0.228
cei5,cei4,0.222
cei5,cei4,0.195
cei5,cei4,0.181
cei5,cei4,0.193
cei5,cei4,0.223
cei5,cei4,0.223
cei5,cei4,0.190
cei5,cei4,0.220
cei5,cei4,0.196
cei5,cei4,0.220
cei5,cei4,0.196
cei5,cei4,0.198
cei5,cei4,0.215
cei5,cei4,0.195
cei5,cei4,0.235
cei5,cei4,0.199
cei5,cei4,0.204
cei5,cei4,0.217
cei5,cei4,0.218
cei5,cei4,0.213
cei5,cei4,0.220
cei5,cei4,0.187
cei5,cei4,0.196
cei5,cei4,0.225
cei5,cei4,0.220
cei5,cei4,0.214
cei5,cei4,0.190
cei5,cei4,0.205
cei5,cei4,0.186
cei5,cei4,0.197
cei5,cei4,0.195
cei5,cei4,0.197
cei5,cei4,0.222
cei5,cei4,0.220
cei5,cei4,0.191
cei5,cei4,0.198
cei5,cei4,0.223
cei5,cei4,0.211
cei5,cei4,0.221
cei5,cei4,0.234
cei5,cei4,0.185
cei5,cei4,0.220
cei5,cei4,0.196
cei5,cei4,0.200
cei5,cei4,0.221
cei5,cei4,0.224
cei5,cei4,0.196
cei5,cei4,0.226
cei5,cei4,0.217
cei5,cei4,0.224
cei5,cei4,0.195
cei5,cei4,0.225
cei5,cei4,0.221
cei5,cei4,0.226
cei5,cei4,0.158
cei5,cei4,0.189
cei5,cei4,0.218
cei5,cei4,0.146
cei5,cei4,0.211
cei5,cei4,0.221
cei5,cei4,0.215
cei5,cei4,0.198
cei5,cei4,0.212
cei5,cei4,0.214
cei5,cei4,0.195
cei5,cei4,0.191
cei5,cei4,0.192
cei5,cei4,0.219
cei5,cei4,0.186
cei5,cei4,0.224
cei5,cei4,0.190
cei5,cei4,0.217
cei5,cei4,0.189
cei5,cei4,0.223
cei5,cei4,0.219
cei5,cei4,0.186
cei5,cei4,0.224
cei5,cei4,0.215
cei5,cei4,0.222
cei5,cei4,0.218
cei5,cei4,0.240
cei5,cei4,0.258
cei5,cei4,0.227
cei5,cei4,0.231
cei5,cei4,0.262
cei5,cei4,0.254
cei5,cei4,0.216
cei5,cei4,0.225
cei5,cei4,0.224
cei5,cei4,0.252
cei5,cei4,0.262
cei5,cei4,0.275
cei5,cei4,0.257
draco2,draco3,0.278
draco2,draco3,0.226
draco2,draco3,0.232
draco2,draco3,0.232
draco2,draco3,0.224
draco2,draco3,0.220
draco2,draco3,0.216
draco2,draco3,0.223
draco2,draco3,0.218
draco2,draco3,0.225
draco2,draco3,0.239
draco2,draco3,0.222
draco2,draco3,0.191
draco2,draco3,0.223
draco2,draco3,0.238
draco2,draco3,0.217
draco2,draco3,0.221
draco2,draco3,0.240
draco2,draco3,0.238
draco2,draco3,0.240
draco2,draco3,0.222
draco2,draco3,0.240
draco2,draco3,0.230
draco2,draco3,0.223
draco2,draco3,0.217
draco2,draco3,0.218
draco2,draco3,0.242
draco2,draco3,0.239
draco2,draco3,0.226
draco2,draco3,0.235
draco2,draco3,0.207
draco2,draco3,0.235
draco2,draco3,0.229
draco2,draco3,0.221
draco2,draco3,0.229
draco2,draco3,0.239
draco2,draco3,0.238
draco2,draco3,0.236
draco2,draco3,0.235
draco2,draco3,0.229
draco2,draco3,0.237
draco2,draco3,0.215
draco2,draco3,0.217
draco2,draco3,0.238
draco2,draco3,0.220
draco2,draco3,0.239
draco2,draco3,0.229
draco2,draco3,0.242
draco2,draco3,0.229
draco2,draco3,0.235
draco2,draco3,0.236
draco2,draco3,0.232
draco2,draco3,0.230
draco2,draco3,0.247
draco2,draco3,0.238
draco2,draco3,0.234
draco2,draco3,0.221
draco2,draco3,0.236
draco2,draco3,0.241
draco2,draco3,0.231
draco2,draco3,0.222
draco2,draco3,0.240
draco2,draco3,0.239
draco2,draco3,0.240
draco2,draco3,0.242
draco2,draco3,0.227
draco2,draco3,0.236
draco2,draco3,0.237
draco2,draco3,0.246
draco2,draco3,0.236
draco2,draco3,0.239
draco2,draco3,0.232
draco2,draco3,0.239
draco2,draco3,0.234
draco2,draco3,0.229
draco2,draco3,0.232
draco2,draco3,0.230
draco2,draco3,0.237
draco2,draco3,0.242
draco2,draco3,0.236
draco2,draco3,0.243
draco2,draco3,0.234
draco2,draco3,0.233
draco2,draco3,0.238
draco2,draco3,0.238
draco2,draco3,0.265
draco2,draco3,0.238
draco2,draco3,0.236
draco2,draco3,0.241
draco2,draco3,0.229
draco2,draco3,0.242
draco2,draco3,0.232
draco2,draco3,0.232
draco2,draco3,0.244
draco2,draco3,0.237
draco2,draco3,0.236
draco2,draco3,0.240
draco2,draco3,0.213
draco2,draco3,0.239
draco2,draco3,0.242
draco3,draco2,0.274
draco3,draco2,0.257
draco3,draco2,0.249
draco3,draco2,0.255
draco3,draco2,0.256
draco3,draco2,0.248
draco3,draco2,0.249
draco3,draco2,0.252
draco3,draco2,0.265
draco3,draco2,0.254
draco3,draco2,0.252
draco3,draco2,0.257
draco3,draco2,0.258
draco3,draco2,0.252
draco3,draco2,0.251
draco3,draco2,0.257
draco3,draco2,0.255
draco3,draco2,0.245
draco3,draco2,0.257
draco3,draco2,0.247
draco3,draco2,0.262
draco3,draco2,0.251
draco3,draco2,0.253
draco3,draco2,0.252
draco3,draco2,0.254
draco3,draco2,0.249
draco3,draco2,0.244
draco3,draco2,0.255
draco3,draco2,0.253
draco3,draco2,0.248
draco3,draco2,0.253
draco3,draco2,0.262
draco3,draco2,0.251
draco3,draco2,0.252
draco3,draco2,0.252
draco3,draco2,0.257
draco3,draco2,0.252
draco3,draco2,0.256
draco3,draco2,0.256
draco3,draco2,0.250
draco3,draco2,0.253
draco3,draco2,0.247
draco3,draco2,0.249
draco3,draco2,0.246
draco3,draco2,0.254
draco3,draco2,0.256
draco3,draco2,0.256
draco3,draco2,0.255
draco3,draco2,0.251
draco3,draco2,0.249
draco3,draco2,0.245
draco3,draco2,0.253
draco3,draco2,0.250
draco3,draco2,0.252
draco3,draco2,0.253
draco3,draco2,0.256
draco3,draco2,0.249
draco3,draco2,0.260
draco3,draco2,0.255
draco3,draco2,0.255
draco3,draco2,0.256
draco3,draco2,0.247
draco3,draco2,0.239
draco3,draco2,0.251
draco3,draco2,0.258
draco3,draco2,0.253
draco3,draco2,0.212
draco3,draco2,0.253
draco3,draco2,0.250
draco3,draco2,0.260
draco3,draco2,0.254
draco3,draco2,0.252
draco3,draco2,0.254
draco3,draco2,0.254
draco3,draco2,0.255
draco3,draco2,0.245
draco3,draco2,0.258
draco3,draco2,0.252
draco3,draco2,0.255
draco3,draco2,0.250
draco3,draco2,0.253
draco3,draco2,0.252
draco3,draco2,0.252
draco3,draco2,0.253
draco3,draco2,0.251
draco3,draco2,0.251
draco3,draco2,0.257
draco3,draco2,0.251
draco3,draco2,0.244
draco3,draco2,0.251
draco3,draco2,0.254
draco3,draco2,0.254
draco3,draco2,0.259
draco3,draco2,0.245
draco3,draco2,0.255
draco3,draco2,0.244
draco3,draco2,0.252
draco3,draco2,0.255
draco3,draco2,0.251
draco3,draco2,0.247
draco4,draco5,0.307
draco4,draco5,0.203
draco4,draco5,0.240
draco4,draco5,0.219
draco4,draco5,0.225
draco4,draco5,0.237
draco4,draco5,0.228
draco4,draco5,0.236
draco4,draco5,0.217
draco4,draco5,0.221
draco4,draco5,0.232
draco4,draco5,0.236
draco4,draco5,0.232
draco4,draco5,0.239
draco4,draco5,0.227
draco4,draco5,0.242
draco4,draco5,0.226
draco4,draco5,0.220
draco4,draco5,0.225
draco4,draco5,0.231
draco4,draco5,0.228
draco4,draco5,0.225
draco4,draco5,0.227
draco4,draco5,0.234
draco4,draco5,0.226
draco4,draco5,0.224
draco4,draco5,0.227
draco4,draco5,0.229
draco4,draco5,0.251
draco4,draco5,0.231
draco4,draco5,0.224
draco4,draco5,0.238
draco4,draco5,0.247
draco4,draco5,0.228
draco4,draco5,0.225
draco4,draco5,0.233
draco4,draco5,0.232
draco4,draco5,0.224
draco4,draco5,0.247
draco4,draco5,0.235
draco4,draco5,0.224
draco4,draco5,0.221
draco4,draco5,0.235
draco4,draco5,0.239
draco4,draco5,0.239
draco4,draco5,0.222
draco4,draco5,0.220
draco4,draco5,0.235
draco4,draco5,0.225
draco4,draco5,0.218
draco4,draco5,0.229
draco4,draco5,0.200
draco4,draco5,0.231
draco4,draco5,0.199
draco4,draco5,0.233
draco4,draco5,0.234
draco4,draco5,0.232
draco4,draco5,0.221
draco4,draco5,0.226
draco4,draco5,0.231
draco4,draco5,0.239
draco4,draco5,0.224
draco4,draco5,0.226
draco4,draco5,0.238
draco4,draco5,0.238
draco4,draco5,0.226
draco4,draco5,0.231
draco4,draco5,0.237
draco4,draco5,0.240
draco4,draco5,0.252
draco4,draco5,0.212
draco4,draco5,0.232
draco4,draco5,0.198
draco4,draco5,0.227
draco4,draco5,0.232
draco4,draco5,0.240
draco4,draco5,0.232
draco4,draco5,0.243
draco4,draco5,0.229
draco4,draco5,0.238
draco4,draco5,0.230
draco4,draco5,0.231
draco4,draco5,0.218
draco4,draco5,0.236
draco4,draco5,0.220
draco4,draco5,0.239
draco4,draco5,0.233
draco4,draco5,0.224
draco4,draco5,0.225
draco4,draco5,0.234
draco4,draco5,0.221
draco4,draco5,0.232
draco4,draco5,0.229
draco4,draco5,0.239
draco4,draco5,0.229
draco4,draco5,0.236
draco4,draco5,0.230
draco4,draco5,0.241
draco4,draco5,0.230
draco4,draco5,0.239
draco5,draco4,0.205
draco5,draco4,0.201
draco5,draco4,0.195
draco5,draco4,0.213
draco5,draco4,0.200
draco5,draco4,0.206
draco5,draco4,0.194
draco5,draco4,0.206
draco5,draco4,0.199
draco5,draco4,0.206
draco5,draco4,0.199
draco5,draco4,0.207
draco5,draco4,0.196
draco5,draco4,0.201
draco5,draco4,0.195
draco5,draco4,0.210
draco5,draco4,0.182
draco5,draco4,0.200
draco5,draco4,0.202
draco5,draco4,0.215
draco5,draco4,0.199
draco5,draco4,0.200
draco5,draco4,0.195
draco5,draco4,0.211
draco5,draco4,0.194
draco5,draco4,0.214
draco5,draco4,0.200
draco5,draco4,0.218
draco5,draco4,0.210
draco5,draco4,0.191
draco5,draco4,0.190
draco5,draco4,0.209
draco5,draco4,0.194
draco5,draco4,0.195
draco5,draco4,0.201
draco5,draco4,0.217
draco5,draco4,0.216
draco5,draco4,0.195
draco5,draco4,0.198
draco5,draco4,0.208
draco5,draco4,0.207
draco5,draco4,0.197
draco5,draco4,0.207
draco5,draco4,0.213
draco5,draco4,0.209
draco5,draco4,0.199
draco5,draco4,0.203
draco5,draco4,0.214
draco5,draco4,0.210
draco5,draco4,0.201
draco5,draco4,0.210
draco5,draco4,0.216
draco5,draco4,0.204
draco5,draco4,0.207
draco5,draco4,0.198
draco5,draco4,0.216
draco5,draco4,0.204
draco5,draco4,0.203
draco5,draco4,0.195
draco5,draco4,0.216
draco5,draco4,0.204
draco5,draco4,0.209
draco5,draco4,0.199
draco5,draco4,0.217
draco5,draco4,0.202
draco5,draco4,0.209
draco5,draco4,0.196
draco5,draco4,0.213
draco5,draco4,0.198
draco5,draco4,0.228
draco5,draco4,0.202
draco5,draco4,0.211
draco5,draco4,0.203
draco5,draco4,0.195
draco5,draco4,0.200
draco5,draco4,0.195
draco5,draco4,0.198
draco5,draco4,0.216
draco5,draco4,0.198
draco5,draco4,0.209
draco5,draco4,0.201
draco5,draco4,0.215
draco5,draco4,0.201
draco5,draco4,0.213
draco5,draco4,0.197
draco5,draco4,0.213
draco5,draco4,0.188
draco5,draco4,0.214
draco5,draco4,0.193
draco5,draco4,0.216
draco5,draco4,0.201
draco5,draco4,0.197
draco5,draco4,0.200
draco5,draco4,0.211
draco5,draco4,0.194
draco5,draco4,0.214
draco5,draco4,0.201
draco5,draco4,0.210
draco5,draco4,0.198
