from,to,time
draco5,draco4,0.207
poti1,poti2,0.095
poti1,poti2,0.107
poti1,poti2,0.238
poti1,poti2,0.266
poti1,poti2,0.255
poti1,poti2,0.257
poti1,poti2,0.273
poti1,poti2,0.130
poti1,poti2,0.261
poti1,poti2,0.249
poti1,poti2,0.230
poti1,poti2,0.255
poti1,poti2,0.274
poti1,poti2,0.126
poti1,poti2,0.251
poti1,poti2,0.236
poti1,poti2,0.262
poti1,poti2,0.253
poti1,poti2,0.254
poti1,poti2,0.272
poti1,poti2,0.134
poti1,poti2,0.133
poti1,poti2,0.209
poti1,poti2,0.198
poti1,poti2,0.308
poti1,poti2,0.194
poti1,poti2,0.272
poti1,poti2,0.263
poti1,poti2,0.264
poti1,poti2,0.268
poti1,poti2,0.270
poti1,poti2,0.220
poti1,poti2,0.276
poti1,poti2,0.271
poti1,poti2,0.270
poti1,poti2,0.113
poti1,poti2,0.262
poti1,poti2,0.117
poti1,poti2,0.254
poti1,poti2,0.234
poti1,poti2,0.130
poti1,poti2,0.262
poti1,poti2,0.137
poti1,poti2,0.260
poti1,poti2,0.114
poti1,poti2,0.248
poti1,poti2,0.214
poti1,poti2,0.214
poti1,poti2,0.202
poti1,poti2,0.222
poti1,poti2,0.261
poti1,poti2,0.197
poti1,poti2,0.275
poti1,poti2,0.221
poti1,poti2,0.275
poti1,poti2,0.243
poti1,poti2,0.221
poti1,poti2,0.277
poti1,poti2,0.203
poti1,poti2,0.120
poti1,poti2,0.239
poti1,poti2,0.255
poti1,poti2,0.289
poti1,poti2,0.110
poti1,poti2,0.279
poti1,poti2,0.179
poti1,poti2,0.133
poti1,poti2,0.276
poti1,poti2,0.264
poti1,poti2,0.245
poti1,poti2,0.283
poti1,poti2,0.277
poti1,poti2,0.294
poti1,poti2,0.256
poti1,poti2,0.234
poti1,poti2,0.255
poti1,poti2,0.270
poti1,poti2,0.257
poti1,poti2,0.205
poti1,poti2,0.247
poti1,poti2,0.251
poti1,poti2,0.257
poti1,poti2,0.207
poti1,poti2,0.223
poti1,poti2,0.133
poti1,poti2,0.278
poti1,poti2,0.261
poti1,poti2,0.259
poti1,poti2,0.269
poti1,poti2,0.274
poti1,poti2,0.279
poti1,poti2,0.216
poti1,poti2,0.243
poti1,poti2,0.274
poti1,poti2,0.260
poti1,poti2,0.265
poti1,poti2,0.122
poti1,poti2,0.201
poti1,poti2,0.259
poti1,poti2,0.259
poti2,poti1,0.060
poti2,poti1,0.247
poti2,poti1,0.271
poti2,poti1,0.205
poti2,poti1,0.294
poti2,poti1,0.269
poti2,poti1,0.289
poti2,poti1,0.251
poti2,poti1,0.276
poti2,poti1,0.274
poti2,poti1,0.289
poti2,poti1,0.269
poti2,poti1,0.264
poti2,poti1,0.283
poti2,poti1,0.255
poti2,poti1,0.224
poti2,poti1,0.268
poti2,poti1,0.287
poti2,poti1,0.265
poti2,poti1,0.275
poti2,poti1,0.277
poti2,poti1,0.266
poti2,poti1,0.182
poti2,poti1,0.250
poti2,poti1,0.242
poti2,poti1,0.274
poti2,poti1,0.278
poti2,poti1,0.237
poti2,poti1,0.292
poti2,poti1,0.314
poti2,poti1,0.281
poti2,poti1,0.274
poti2,poti1,0.300
poti2,poti1,0.244
poti2,poti1,0.180
poti2,poti1,0.268
poti2,poti1,0.291
poti2,poti1,0.273
poti2,poti1,0.277
poti2,poti1,0.179
poti2,poti1,0.187
poti2,poti1,0.215
poti2,poti1,0.211
poti2,poti1,0.284
poti2,poti1,0.273
poti2,poti1,0.274
poti2,poti1,0.275
poti2,poti1,0.278
poti2,poti1,0.290
poti2,poti1,0.266
poti2,poti1,0.287
poti2,poti1,0.185
poti2,poti1,0.282
poti2,poti1,0.240
poti2,poti1,0.272
poti2,poti1,0.270
poti2,poti1,0.236
poti2,poti1,0.316
poti2,poti1,0.251
poti2,poti1,0.256
poti2,poti1,0.276
poti2,poti1,0.239
poti2,poti1,0.272
poti2,poti1,0.277
poti2,poti1,0.255
poti2,poti1,0.196
poti2,poti1,0.196
poti2,poti1,0.278
poti2,poti1,0.212
poti2,poti1,0.276
poti2,poti1,0.233
poti2,poti1,0.265
poti2,poti1,0.274
poti2,poti1,0.277
poti2,poti1,0.257
poti2,poti1,0.220
poti2,poti1,0.271
poti2,poti1,0.287
poti2,poti1,0.272
poti2,poti1,0.247
poti2,poti1,0.180
poti2,poti1,0.178
poti2,poti1,0.281
poti2,poti1,0.238
poti2,poti1,0.273
poti2,poti1,0.268
poti2,poti1,0.268
poti2,poti1,0.191
poti2,poti1,0.184
poti2,poti1,0.275
poti2,poti1,0.291
poti2,poti1,0.185
poti2,poti1,0.235
poti2,poti1,0.274
poti2,poti1,0.249
poti2,poti1,0.283
poti2,poti1,0.269
poti2,poti1,0.270
poti2,poti1,0.271
poti2,poti1,0.183
poti3,poti4,0.077
poti3,poti4,0.109
poti3,poti4,0.211
poti3,poti4,0.208
poti3,poti4,0.204
poti3,poti4,0.205
poti3,poti4,0.204
poti3,poti4,0.208
poti3,poti4,0.202
poti3,poti4,0.313
poti3,poti4,0.200
poti3,poti4,0.203
poti3,poti4,0.206
poti3,poti4,0.237
poti3,poti4,0.196
poti3,poti4,0.198
poti3,poti4,0.192
poti3,poti4,0.185
poti3,poti4,0.197
poti3,poti4,0.202
poti3,poti4,0.205
poti3,poti4,0.210
poti3,poti4,0.210
poti3,poti4,0.129
poti3,poti4,0.136
poti3,poti4,0.130
poti3,poti4,0.116
poti3,poti4,0.115
poti3,poti4,0.206
poti3,poti4,0.232
poti3,poti4,0.171
poti3,poti4,0.298
poti3,poti4,0.240
poti3,poti4,0.189
poti3,poti4,0.202
poti3,poti4,0.206
poti3,poti4,0.207
poti3,poti4,0.199
poti3,poti4,0.289
poti3,poti4,0.287
poti3,poti4,0.244
poti3,poti4,0.307
poti3,poti4,0.200
poti3,poti4,0.195
poti3,poti4,0.196
poti3,poti4,0.191
poti3,poti4,0.192
poti3,poti4,0.203
poti3,poti4,0.288
poti3,poti4,0.291
poti3,poti4,0.211
poti3,poti4,0.202
poti3,poti4,0.125
poti3,poti4,0.128
poti3,poti4,0.124
poti3,poti4,0.199
poti3,poti4,0.204
poti3,poti4,0.204
poti3,poti4,0.202
poti3,poti4,0.205
poti3,poti4,0.183
poti3,poti4,0.189
poti3,poti4,0.153
poti3,poti4,0.204
poti3,poti4,0.202
poti3,poti4,0.193
poti3,poti4,0.203
poti3,poti4,0.197
poti3,poti4,0.210
poti3,poti4,0.214
poti3,poti4,0.203
poti3,poti4,0.203
poti3,poti4,0.252
poti3,poti4,0.203
poti3,poti4,0.198
poti3,poti4,0.198
poti3,poti4,0.135
poti3,poti4,0.124
poti3,poti4,0.116
poti3,poti4,0.105
poti3,poti4,0.202
poti3,poti4,0.212
poti3,poti4,0.197
poti3,poti4,0.199
poti3,poti4,0.199
poti3,poti4,0.202
poti3,poti4,0.199
poti3,poti4,0.192
poti3,poti4,0.205
poti3,poti4,0.285
poti3,poti4,0.212
poti3,poti4,0.204
poti3,poti4,0.199
poti3,poti4,0.197
poti3,poti4,0.203
poti3,poti4,0.193
poti3,poti4,0.216
poti3,poti4,0.163
poti3,poti4,0.171
poti3,poti4,0.293
poti4,poti3,0.059
poti4,poti3,0.254
poti4,poti3,0.375
poti4,poti3,0.290
poti4,poti3,0.372
poti4,poti3,0.387
poti4,poti3,0.204
poti4,poti3,0.343
poti4,poti3,0.139
poti4,poti3,0.114
poti4,poti3,0.145
poti4,poti3,0.328
poti4,poti3,0.268
poti4,poti3,0.336
poti4,poti3,0.271
poti4,poti3,0.335
poti4,poti3,0.335
poti4,poti3,0.130
poti4,poti3,0.119
poti4,poti3,0.201
poti4,poti3,0.201
poti4,poti3,0.163
poti4,poti3,0.374
poti4,poti3,0.084
poti4,poti3,0.372
poti4,poti3,0.367
poti4,poti3,0.350
poti4,poti3,0.231
poti4,poti3,0.368
poti4,poti3,0.373
poti4,poti3,0.422
poti4,poti3,0.124
poti4,poti3,0.127
poti4,poti3,0.128
poti4,poti3,0.144
poti4,poti3,0.137
poti4,poti3,0.225
poti4,poti3,0.338
poti4,poti3,0.364
poti4,poti3,0.135
poti4,poti3,0.358
poti4,poti3,0.352
poti4,poti3,0.140
poti4,poti3,0.368
poti4,poti3,0.130
poti4,poti3,0.260
poti4,poti3,0.265
poti4,poti3,0.361
poti4,poti3,0.380
poti4,poti3,0.370
poti4,poti3,0.129
poti4,poti3,0.126
poti4,poti3,0.224
poti4,poti3,0.215
poti4,poti3,0.129
poti4,poti3,0.363
poti4,poti3,0.133
poti4,poti3,0.130
poti4,poti3,0.082
poti4,poti3,0.126
poti4,poti3,0.132
poti4,poti3,0.349
poti4,poti3,0.351
poti4,poti3,0.398
poti4,poti3,0.261
poti4,poti3,0.351
poti4,poti3,0.351
poti4,poti3,0.444
poti4,poti3,0.122
poti4,poti3,0.330
poti4,poti3,0.243
poti4,poti3,0.244
poti4,poti3,0.228
poti4,poti3,0.127
poti4,poti3,0.361
poti4,poti3,0.360
poti4,poti3,0.130
poti4,poti3,0.231
poti4,poti3,0.136
poti4,poti3,0.171
poti4,poti3,0.084
poti4,poti3,0.227
poti4,poti3,0.129
poti4,poti3,0.449
poti4,poti3,0.361
poti4,poti3,0.355
poti4,poti3,0.362
poti4,poti3,0.398
poti4,poti3,0.435
poti4,poti3,0.261
poti4,poti3,0.224
poti4,poti3,0.245
poti4,poti3,0.131
poti4,poti3,0.356
poti4,poti3,0.448
poti4,poti3,0.307
poti4,poti3,0.406
poti4,poti3,0.146
poti4,poti3,0.132
poti4,poti3,0.158
tupi1,tupi4,0.380
tupi1,tupi4,0.212
tupi1,tupi4,0.197
tupi1,tupi4,0.289
tupi1,tupi4,0.202
tupi1,tupi4,0.197
tupi1,tupi4,0.197
tupi1,tupi4,0.192
tupi1,tupi4,0.192
tupi1,tupi4,0.191
tupi1,tupi4,0.191
tupi1,tupi4,0.193
tupi1,tupi4,0.288
tupi1,tupi4,0.206
tupi1,tupi4,0.194
tupi1,tupi4,0.203
tupi1,tupi4,0.189
tupi1,tupi4,0.199
tupi1,tupi4,0.185
tupi1,tupi4,0.202
tupi1,tupi4,0.196
tupi1,tupi4,0.190
tupi1,tupi4,0.192
tupi1,tupi4,0.188
tupi1,tupi4,0.195
tupi1,tupi4,0.199
tupi1,tupi4,0.193
tupi1,tupi4,0.198
tupi1,tupi4,0.195
tupi1,tupi4,0.198
tupi1,tupi4,0.189
tupi1,tupi4,0.188
tupi1,tupi4,0.207
tupi1,tupi4,0.199
tupi1,tupi4,0.194
tupi1,tupi4,0.197
tupi1,tupi4,0.201
tupi1,tupi4,0.193
tupi1,tupi4,0.186
tupi1,tupi4,0.198
tupi1,tupi4,0.196
tupi1,tupi4,0.194
tupi1,tupi4,0.198
tupi1,tupi4,0.187
tupi1,tupi4,0.196
tupi1,tupi4,0.253
tupi1,tupi4,0.196
tupi1,tupi4,0.188
tupi1,tupi4,0.190
tupi1,tupi4,0.198
tupi1,tupi4,0.187
tupi1,tupi4,0.191
tupi1,tupi4,0.188
tupi1,tupi4,0.196
tupi1,tupi4,0.195
tupi1,tupi4,0.204
tupi1,tupi4,0.193
tupi1,tupi4,0.201
tupi1,tupi4,0.196
tupi1,tupi4,0.185
tupi1,tupi4,0.190
tupi1,tupi4,0.194
tupi1,tupi4,0.193
tupi1,tupi4,0.254
tupi1,tupi4,0.212
tupi1,tupi4,0.192
tupi1,tupi4,0.197
tupi1,tupi4,0.193
tupi1,tupi4,0.201
tupi1,tupi4,0.195
tupi1,tupi4,0.202
tupi1,tupi4,0.191
tupi1,tupi4,0.196
tupi1,tupi4,0.207
tupi1,tupi4,0.192
tupi1,tupi4,0.196
tupi1,tupi4,0.209
tupi1,tupi4,0.192
tupi1,tupi4,0.193
tupi1,tupi4,0.253
tupi1,tupi4,0.187
tupi1,tupi4,0.195
tupi1,tupi4,0.196
tupi1,tupi4,0.189
tupi1,tupi4,0.187
tupi1,tupi4,0.198
tupi1,tupi4,0.192
tupi1,tupi4,0.193
tupi1,tupi4,0.190
tupi1,tupi4,0.192
tupi1,tupi4,0.192
tupi1,tupi4,0.212
tupi1,tupi4,0.194
tupi1,tupi4,0.206
tupi1,tupi4,0.192
tupi1,tupi4,0.195
tupi1,tupi4,0.190
tupi1,tupi4,0.200
tupi1,tupi4,0.194
tupi1,tupi4,0.197
tupi4,tupi1,0.120
tupi4,tupi1,0.150
tupi4,tupi1,0.146
tupi4,tupi1,0.149
tupi4,tupi1,0.133
tupi4,tupi1,0.150
tupi4,tupi1,0.185
tupi4,tupi1,0.151
tupi4,tupi1,0.156
tupi4,tupi1,0.157
tupi4,tupi1,0.141
tupi4,tupi1,0.159
tupi4,tupi1,0.152
tupi4,tupi1,0.146
tupi4,tupi1,0.127
tupi4,tupi1,0.147
tupi4,tupi1,0.149
tupi4,tupi1,0.152
tupi4,tupi1,0.131
tupi4,tupi1,0.152
tupi4,tupi1,0.146
tupi4,tupi1,0.153
tupi4,tupi1,0.152
tupi4,tupi1,0.141
tupi4,tupi1,0.151
tupi4,tupi1,0.147
tupi4,tupi1,0.152
tupi4,tupi1,0.154
tupi4,tupi1,0.157
tupi4,tupi1,0.128
tupi4,tupi1,0.154
tupi4,tupi1,0.150
tupi4,tupi1,0.150
tupi4,tupi1,0.156
tupi4,tupi1,0.156
tupi4,tupi1,0.125
tupi4,tupi1,0.106
tupi4,tupi1,0.149
tupi4,tupi1,0.151
tupi4,tupi1,0.153
tupi4,tupi1,0.146
tupi4,tupi1,0.154
tupi4,tupi1,0.161
tupi4,tupi1,0.152
tupi4,tupi1,0.106
tupi4,tupi1,0.154
tupi4,tupi1,0.147
tupi4,tupi1,0.145
tupi4,tupi1,0.148
tupi4,tupi1,0.149
tupi4,tupi1,0.154
tupi4,tupi1,0.149
tupi4,tupi1,0.149
tupi4,tupi1,0.153
tupi4,tupi1,0.150
tupi4,tupi1,0.121
tupi4,tupi1,0.147
tupi4,tupi1,0.149
tupi4,tupi1,0.150
tupi4,tupi1,0.150
tupi4,tupi1,0.151
tupi4,tupi1,0.150
tupi4,tupi1,0.150
tupi4,tupi1,0.127
tupi4,tupi1,0.142
tupi4,tupi1,0.169
tupi4,tupi1,0.147
tupi4,tupi1,0.153
tupi4,tupi1,0.153
tupi4,tupi1,0.189
tupi4,tupi1,0.151
tupi4,tupi1,0.152
tupi4,tupi1,0.151
tupi4,tupi1,0.146
tupi4,tupi1,0.152
tupi4,tupi1,0.144
tupi4,tupi1,0.148
tupi4,tupi1,0.145
tupi4,tupi1,0.152
tupi4,tupi1,0.150
tupi4,tupi1,0.155
tupi4,tupi1,0.146
tupi4,tupi1,0.148
tupi4,tupi1,0.148
tupi4,tupi1,0.150
tupi4,tupi1,0.153
tupi4,tupi1,0.144
tupi4,tupi1,0.152
tupi4,tupi1,0.222
tupi4,tupi1,0.150
tupi4,tupi1,0.128
tupi4,tupi1,0.164
tupi4,tupi1,0.139
tupi4,tupi1,0.153
tupi4,tupi1,0.150
tupi4,tupi1,0.148
tupi4,tupi1,0.150
tupi4,tupi1,0.128
tupi4,tupi1,0.161
tupi4,tupi1,0.152
tupi1,tupi4,0.211
tupi1,tupi4,0.190
tupi1,tupi4,0.206
tupi1,tupi4,0.212
tupi1,tupi4,0.203
tupi1,tupi4,0.197
tupi1,tupi4,0.206
tupi1,tupi4,0.220
tupi1,tupi4,0.199
tupi1,tupi4,0.194
tupi1,tupi4,0.197
tupi1,tupi4,0.195
tupi1,tupi4,0.205
tupi1,tupi4,0.211
tupi1,tupi4,0.196
tupi1,tupi4,0.192
tupi1,tupi4,0.192
tupi1,tupi4,0.194
tupi1,tupi4,0.196
tupi1,tupi4,0.202
tupi1,tupi4,0.203
tupi1,tupi4,0.196
tupi1,tupi4,0.200
tupi1,tupi4,0.201
tupi1,tupi4,0.198
tupi1,tupi4,0.197
tupi1,tupi4,0.195
tupi1,tupi4,0.205
tupi1,tupi4,0.196
tupi1,tupi4,0.198
tupi1,tupi4,0.194
tupi1,tupi4,0.199
tupi1,tupi4,0.196
tupi1,tupi4,0.190
tupi1,tupi4,0.194
tupi1,tupi4,0.190
tupi1,tupi4,0.207
tupi1,tupi4,0.197
tupi1,tupi4,0.198
tupi1,tupi4,0.192
tupi1,tupi4,0.195
tupi1,tupi4,0.199
tupi1,tupi4,0.194
tupi1,tupi4,0.194
tupi1,tupi4,0.195
tupi1,tupi4,0.195
tupi1,tupi4,0.204
tupi1,tupi4,0.195
tupi1,tupi4,0.193
tupi1,tupi4,0.191
tupi1,tupi4,0.192
tupi1,tupi4,0.189
tupi1,tupi4,0.198
tupi1,tupi4,0.210
tupi1,tupi4,0.196
tupi1,tupi4,0.201
tupi1,tupi4,0.196
tupi1,tupi4,0.193
tupi1,tupi4,0.196
tupi1,tupi4,0.194
tupi1,tupi4,0.203
tupi1,tupi4,0.197
tupi1,tupi4,0.201
tupi1,tupi4,0.195
tupi1,tupi4,0.191
tupi1,tupi4,0.231
tupi1,tupi4,0.198
tupi1,tupi4,0.200
tupi1,tupi4,0.209
tupi1,tupi4,0.189
tupi1,tupi4,0.219
tupi1,tupi4,0.201
tupi1,tupi4,0.188
tupi1,tupi4,0.205
tupi1,tupi4,0.192
tupi1,tupi4,0.190
tupi1,tupi4,0.197
tupi1,tupi4,0.194
tupi1,tupi4,0.208
tupi1,tupi4,0.189
tupi1,tupi4,0.199
tupi1,tupi4,0.196
tupi1,tupi4,0.203
tupi1,tupi4,0.193
tupi1,tupi4,0.204
tupi1,tupi4,0.200
tupi1,tupi4,0.192
tupi1,tupi4,0.193
tupi1,tupi4,0.209
tupi1,tupi4,0.195
tupi1,tupi4,0.196
tupi1,tupi4,0.205
tupi1,tupi4,0.227
tupi1,tupi4,0.211
tupi1,tupi4,0.201
tupi1,tupi4,0.197
tupi1,tupi4,0.188
tupi1,tupi4,0.190
tupi1,tupi4,0.196
tupi1,tupi4,0.199
tupi4,tupi1,0.097
tupi4,tupi1,0.156
tupi4,tupi1,0.174
tupi4,tupi1,0.147
tupi4,tupi1,0.153
tupi4,tupi1,0.148
tupi4,tupi1,0.148
tupi4,tupi1,0.147
tupi4,tupi1,0.142
tupi4,tupi1,0.144
tupi4,tupi1,0.152
tupi4,tupi1,0.156
tupi4,tupi1,0.147
tupi4,tupi1,0.148
tupi4,tupi1,0.150
tupi4,tupi1,0.154
tupi4,tupi1,0.150
tupi4,tupi1,0.125
tupi4,tupi1,0.150
tupi4,tupi1,0.148
tupi4,tupi1,0.145
tupi4,tupi1,0.149
tupi4,tupi1,0.145
tupi4,tupi1,0.150
tupi4,tupi1,0.137
tupi4,tupi1,0.147
tupi4,tupi1,0.125
tupi4,tupi1,0.149
tupi4,tupi1,0.149
tupi4,tupi1,0.149
tupi4,tupi1,0.139
tupi4,tupi1,0.154
tupi4,tupi1,0.157
tupi4,tupi1,0.146
tupi4,tupi1,0.151
tupi4,tupi1,0.149
tupi4,tupi1,0.154
tupi4,tupi1,0.128
tupi4,tupi1,0.150
tupi4,tupi1,0.146
tupi4,tupi1,0.151
tupi4,tupi1,0.157
tupi4,tupi1,0.158
tupi4,tupi1,0.154
tupi4,tupi1,0.150
tupi4,tupi1,0.151
tupi4,tupi1,0.135
tupi4,tupi1,0.188
tupi4,tupi1,0.142
tupi4,tupi1,0.166
tupi4,tupi1,0.166
tupi4,tupi1,0.147
tupi4,tupi1,0.183
tupi4,tupi1,0.126
tupi4,tupi1,0.152
tupi4,tupi1,0.133
tupi4,tupi1,0.124
tupi4,tupi1,0.149
tupi4,tupi1,0.146
tupi4,tupi1,0.186
tupi4,tupi1,0.147
tupi4,tupi1,0.141
tupi4,tupi1,0.151
tupi4,tupi1,0.150
tupi4,tupi1,0.152
tupi4,tupi1,0.157
tupi4,tupi1,0.148
tupi4,tupi1,0.128
tupi4,tupi1,0.151
tupi4,tupi1,0.155
tupi4,tupi1,0.143
tupi4,tupi1,0.146
tupi4,tupi1,0.148
tupi4,tupi1,0.150
tupi4,tupi1,0.144
tupi4,tupi1,0.150
tupi4,tupi1,0.146
tupi4,tupi1,0.115
tupi4,tupi1,0.083
tupi4,tupi1,0.154
tupi4,tupi1,0.150
tupi4,tupi1,0.149
tupi4,tupi1,0.147
tupi4,tupi1,0.154
tupi4,tupi1,0.153
tupi4,tupi1,0.153
tupi4,tupi1,0.153
tupi4,tupi1,0.145
tupi4,tupi1,0.151
tupi4,tupi1,0.149
tupi4,tupi1,0.154
tupi4,tupi1,0.142
tupi4,tupi1,0.119
tupi4,tupi1,0.144
tupi4,tupi1,0.180
tupi4,tupi1,0.139
tupi4,tupi1,0.152
tupi4,tupi1,0.143
tupi4,tupi1,0.149
tupi4,tupi1,0.153
